Item,Time,Distance(mi),Speed(mph),Pace(min/mi),HeartRate(bpm),Latitude,Longitude,Altiutde(ft)
0,00:00:00,0,0, ----,0,200.0,200.0,0
1,00:00:04,0,0, ----,0,200.0,200.0,0
2,00:00:08,0,0, ----,0,200.0,200.0,0
3,00:00:12,0,0, ----,0,200.0,200.0,0
4,00:00:16,0,0, ----,0,200.0,200.0,0
5,00:00:20,0,0, ----,0,200.0,200.0,0
6,00:00:24,0,0.4, 99:59,0,200.0,200.0,0
7,00:00:28,0,0.8, 72:36,0,200.0,200.0,0
8,00:00:32,0,1.7, 36:18,0,200.0,200.0,0
9,00:00:36,0,1.7, 36:18,0,200.0,200.0,0
10,00:00:40,0,1.7, 36:18,0,200.0,200.0,0
11,00:00:44,0,1.7, 36:18,0,200.0,200.0,0
12,00:00:48,0,1.7, 36:18,0,200.0,200.0,0
13,00:00:52,0,1.2, 48:17,72,200.0,200.0,0
14,00:00:56,0,0.8, 72:36,72,200.0,200.0,0
15,00:01:00,0,0.4, 99:59,72,200.0,200.0,0
16,00:01:04,0,0, ----,72,200.0,200.0,0
17,00:01:08,0,0, ----,102,200.0,200.0,0
18,00:01:12,0,0, ----,102,200.0,200.0,0
19,00:01:16,0,0, ----,102,200.0,200.0,0
20,00:01:20,0,0, ----,102,200.0,200.0,0
21,00:01:24,0,0.4, 99:59,65,200.0,200.0,0
22,00:01:28,0,0.8, 75:26,65,200.0,200.0,0
23,00:01:32,0,1.2, 50:17,65,200.0,200.0,0
24,00:01:36,0,1.6, 37:43,65,200.0,200.0,0
25,00:01:40,0,1.9, 31:27,67,200.0,200.0,0
26,00:01:44,0,2.2, 27:02,67,200.0,200.0,0
27,00:01:48,0,2.5, 23:40,67,200.0,200.0,0
28,00:01:52,0,2.9, 21:02,67,200.0,200.0,0
29,00:01:56,0,2.9, 20:49,67,200.0,200.0,0
30,00:02:00,0,2.9, 20:35,67,200.0,200.0,0
31,00:02:04,0,2.9, 20:22,67,200.0,200.0,0
32,00:02:08,0,3, 20:07,67,200.0,200.0,0
33,00:02:12,0,3.1, 19:30,69,200.0,200.0,0
34,00:02:16,0,3.2, 18:53,69,200.0,200.0,0
35,00:02:20,0,3.3, 18:19,69,200.0,200.0,0
36,00:02:24,0,3.4, 17:47,69,200.0,200.0,0
37,00:02:28,0,3.4, 17:50,76,200.0,200.0,0
38,00:02:32,0,3.4, 17:53,76,200.0,200.0,0
39,00:02:36,0,3.3, 17:56,76,200.0,200.0,0
40,00:02:40,0,3.3, 18:01,76,200.0,200.0,0
41,00:02:44,0,3.3, 18:01,83,200.0,200.0,0
42,00:02:48,0,3.3, 18:01,83,200.0,200.0,0
43,00:02:52,0,3.3, 18:01,83,200.0,200.0,0
44,00:02:56,0,3.3, 18:01,83,200.0,200.0,0
45,00:03:00,0,3.3, 18:05,87,200.0,200.0,0
46,00:03:04,0,3.3, 18:09,87,200.0,200.0,0
47,00:03:08,0,3.3, 18:13,87,200.0,200.0,0
48,00:03:12,0,3.3, 18:17,87,200.0,200.0,0
