13,234
16,236
21,238
31,236
37,234
41,232
44,235
93,233
116,231
128,229
124,227
126,221
128,219
130,217
132,215
134,213
138,211
141,209
143,207
145,204
147,201
149,199
151,195
153,192
155,190
158,188
160,185
158,177
160,155
167,153
177,155
182,157
190,155
193,153
196,151
199,149
203,147
205,145
208,143
211,141
214,139
217,137
224,135
226,133
231,131
234,129
236,127
238,125
234,123
232,121
230,119
226,117
222,115
219,113
211,111
213,104
211,94
209,87
207,73
205,68
203,63
201,61
199,59
197,57
195,52
193,50
190,48
180,46
178,44
176,41
174,39
166,37
164,35
162,33
159,31
132,29
126,27
120,29
117,31
113,33
110,35
112,40
102,42
91,44
86,42
88,40
93,38
95,36
93,34
95,29
97,26
99,23
101,21
104,19
106,16
104,13
102,11
89,9
81,7
83,5
86,3
80,1
65,3
62,5
60,8
52,10
41,8
29,10
22,12
20,15
17,17
5,19
2,21
0,24
