0,227
4,225
2,223
4,221
6,219
25,221
29,223
22,225
16,223
18,226
20,228
23,230
25,232
22,234
29,236
58,238
71,236
94,234
80,232
84,230
89,228
99,226
102,224
105,222
103,220
105,216
110,214
118,212
120,209
118,205
116,201
114,199
112,196
114,187
110,185
106,183
102,181
100,179
98,177
92,175
85,173
83,171
81,169
79,167
72,165
70,157
66,155
62,153
57,151
53,149
49,147
45,145
43,143
38,141
33,139
26,137
24,135
22,132
20,128
37,126
73,124
78,122
85,120
90,118
92,116
94,111
96,101
98,98
100,95
108,93
115,91
117,89
123,87
125,81
131,79
129,77
127,75
125,73
123,71
125,69
132,67
134,61
138,59
134,61
123,59
121,55
119,53
117,51
115,49
109,47
106,45
104,43
102,35
104,33
102,30
104,28
106,26
112,24
110,21
112,19
117,17
119,12
121,10
124,8
155,6
159,4
163,2
168,0
187,2
196,4
208,6
217,8
223,10
226,12
234,10
236,8
238,6
