Item,Time,Distance(mi),Speed(mph),Pace(min/mi),HeartRate(bpm),Latitude,Longitude,Altiutde(ft)
0,00:00:00,0,0, ----,66,200.0,200.0,0
1,00:00:04,0,0, ----,66,200.0,200.0,0
2,00:00:08,0,0, ----,66,200.0,200.0,0
3,00:00:12,0,0, ----,66,200.0,200.0,0
4,00:00:16,0,0, ----,66,200.0,200.0,0
5,00:00:20,0,0, ----,61,200.0,200.0,0
6,00:00:24,0,0.4, 99:59,61,200.0,200.0,0
7,00:00:28,0,0.7, 81:50,61,200.0,200.0,0
8,00:00:32,0,2.9, 20:35,61,200.0,200.0,0
9,00:00:36,0,2.8, 21:05,62,200.0,200.0,0
10,00:00:40,0,2.8, 21:36,62,200.0,200.0,0
11,00:00:44,0,2.7, 22:08,62,200.0,200.0,0
12,00:00:48,0,2.6, 22:43,62,200.0,200.0,0
13,00:00:52,0,2.6, 23:06,66,200.0,200.0,0
14,00:00:56,0,2.6, 23:26,66,200.0,200.0,0
15,00:01:00,0,2.5, 23:50,66,200.0,200.0,0
16,00:01:04,0,2.5, 24:16,66,200.0,200.0,0
17,00:01:08,0,2.5, 23:58,66,200.0,200.0,0
18,00:01:12,0,2.5, 23:43,66,200.0,200.0,0
19,00:01:16,0,2.6, 23:26,66,200.0,200.0,0
20,00:01:20,0,2.6, 23:09,66,200.0,200.0,0
21,00:01:24,0,2.6, 23:23,67,200.0,200.0,0
22,00:01:28,0,2.5, 23:36,67,200.0,200.0,0
23,00:01:32,0,2.5, 23:50,67,200.0,200.0,0
24,00:01:36,0,2.5, 24:01,67,200.0,200.0,0
25,00:01:40,0,2.5, 24:19,72,200.0,200.0,0
26,00:01:44,0,2.4, 24:34,72,200.0,200.0,0
27,00:01:48,0,2.4, 24:49,72,200.0,200.0,0
28,00:01:52,0,2.4, 25:05,72,200.0,200.0,0
29,00:01:56,0,2.4, 25:20,70,200.0,200.0,0
30,00:02:00,0,2.3, 25:37,70,200.0,200.0,0
31,00:02:04,0,2.3, 25:53,70,200.0,200.0,0
32,00:02:08,0,2.3, 26:10,70,200.0,200.0,0
33,00:02:12,0,2.3, 25:57,68,200.0,200.0,0
34,00:02:16,0,2.3, 25:41,68,200.0,200.0,0
35,00:02:20,0,2.4, 25:28,68,200.0,200.0,0
36,00:02:24,0,2.4, 25:13,68,200.0,200.0,0
37,00:02:28,0,2.4, 25:08,71,200.0,200.0,0
38,00:02:32,0,2.4, 24:57,71,200.0,200.0,0
39,00:02:36,0,2.4, 24:49,71,200.0,200.0,0
40,00:02:40,0,2.4, 24:41,71,200.0,200.0,0
41,00:02:44,0,2.4, 24:41,68,200.0,200.0,0
42,00:02:48,0,2.4, 24:41,68,200.0,200.0,0
43,00:02:52,0,2.4, 24:38,68,200.0,200.0,0
44,00:02:56,0,2.4, 24:38,68,200.0,200.0,0
45,00:03:00,0,2.6, 23:23,66,200.0,200.0,0
46,00:03:04,0,2.7, 22:11,66,200.0,200.0,0
47,00:03:08,0,2.8, 21:10,66,200.0,200.0,0
48,00:03:12,0,3, 20:14,66,200.0,200.0,0
49,00:03:16,0,3, 19:42,69,200.0,200.0,0
50,00:03:20,0,3.1, 19:09,69,200.0,200.0,0
51,00:03:24,0,3.2, 18:40,69,200.0,200.0,0
52,00:03:28,0,3.3, 18:11,69,200.0,200.0,0
53,00:03:32,0,2.9, 20:51,72,200.0,200.0,0
54,00:03:36,0,2.5, 24:26,72,200.0,200.0,0
55,00:03:40,0,2, 29:26,72,200.0,200.0,0
56,00:03:44,0,1.6, 37:08,72,200.0,200.0,0
57,00:03:48,0,1.2, 49:31,79,200.0,200.0,0
58,00:03:52,0,0.8, 74:16,79,200.0,200.0,0
59,00:03:56,0,0.4, 99:59,79,200.0,200.0,0
60,00:04:00,0,0, ----,79,200.0,200.0,0
61,00:04:04,0,0.4, 99:59,81,200.0,200.0,0
62,00:04:08,0,0.8, 74:16,81,200.0,200.0,0
63,00:04:12,0,1.2, 49:31,81,200.0,200.0,0
64,00:04:16,0,1.6, 37:08,81,200.0,200.0,0
65,00:04:20,0,2, 29:48,89,200.0,200.0,0
66,00:04:24,0,2.4, 24:57,89,200.0,200.0,0
67,00:04:28,0,2.8, 21:25,89,200.0,200.0,0
68,00:04:32,0,3.2, 18:47,89,200.0,200.0,0
69,00:04:36,0,3.2, 18:53,89,200.0,200.0,0
70,00:04:40,0,3.2, 19:00,89,200.0,200.0,0
71,00:04:44,0,3.1, 19:07,89,200.0,200.0,0
72,00:04:48,0,3.1, 19:14,89,200.0,200.0,0
73,00:04:52,0,2.7, 21:59,92,200.0,200.0,0
74,00:04:56,0,2.4, 24:49,93,22.2891233,113.9542686,-764
75,00:05:00,0,2.1, 28:29,93,22.2891233,113.9542686,-764
76,00:05:04,0,1.8, 33:25,93,22.2891233,113.9542686,-764
77,00:05:08,0,1.5, 40:14,93,22.2891233,113.9542686,-764
78,00:05:12,0,1.3, 47:48,97,22.2891109,113.9542806,-758
79,00:05:16,0,1, 58:52,97,22.2891109,113.9542806,-758
80,00:05:20,0,0.8, 76:38,97,22.2891109,113.9542806,-758
81,00:05:24,0,0.9, 64:22,97,22.2891109,113.9542806,-758
82,00:05:28,0,1, 59:14,95,22.2890995,113.9543007,-768
83,00:05:32,0,1.1, 54:52,95,22.2890995,113.9543007,-768
84,00:05:36,0,1.2, 51:05,95,22.2890995,113.9543007,-768
85,00:05:40,0,1.3, 47:48,95,22.2890995,113.9543007,-768
86,00:05:44,0,1.3, 46:52,90,22.2890834,113.954316,-777
87,00:05:48,0,1.3, 45:59,90,22.2890834,113.954316,-777
88,00:05:52,0,1.3, 45:07,90,22.2890834,113.954316,-777
89,00:05:56,0,1.4, 44:17,90,22.2890834,113.954316,-777
90,00:06:00,0,1.4, 43:41,89,22.2890695,113.9543224,-768
91,00:06:04,0,1.4, 43:06,89,22.2890695,113.9543224,-768
92,00:06:08,0,1.4, 42:32,89,22.2890695,113.9543224,-768
93,00:06:12,0,1.4, 41:59,89,22.2890695,113.9543224,-768
94,00:06:16,0,1.3, 47:34,93,22.2890636,113.9543228,-758
95,00:06:20,0,1.1, 54:52,93,22.2890636,113.9543228,-758
96,00:06:24,0,0.9, 64:22,93,22.2890636,113.9543228,-758
97,00:06:28,0,0.8, 78:30,93,22.2890636,113.9543228,-758
98,00:06:32,0,0.8, 78:30,95,22.2890576,113.9543198,-705
99,00:06:36,0,0.8, 79:08,95,22.2890576,113.9543198,-705
100,00:06:40,0,0.8, 79:48,95,22.2890576,113.9543198,-705
101,00:06:44,0,0.7, 80:28,95,22.2890576,113.9543198,-705
102,00:06:48,0.01,1, 63:07,98,22.2890393,113.9542939,-672
