222,205
217,203
211,200
209,196
207,198
205,200
207,202
205,199
203,195
199,197
197,203
190,205
188,207
186,209
184,211
181,213
179,215
177,217
175,220
171,218
168,220
166,223
164,225
162,227
160,229
158,231
156,233
154,236
152,238
138,236
140,234
131,232
124,230
122,228
114,226
109,224
107,222
105,220
102,218
100,215
102,207
100,202
102,198
104,196
102,192
100,190
98,188
96,186
94,184
92,182
88,180
90,178
88,173
86,170
88,168
86,156
88,151
90,149
92,146
90,144
88,142
86,140
80,138
78,136
73,134
70,132
68,125
66,123
58,121
52,119
45,117
26,115
23,113
21,111
19,109
17,107
20,105
24,103
26,101
30,99
39,97
41,95
47,93
49,88
51,85
53,80
55,78
53,70
55,61
57,59
63,57
65,52
69,54
71,50
69,43
63,41
61,39
59,37
61,32
65,30
68,28
72,26
74,24
76,20
78,18
80,16
86,14
88,12
92,10
94,8
96,6
100,4
107,6
112,8
116,10
124,8
128,6
130,4
133,2
137,0
